area,count,avg_price,min_price,max_price
浙云闽,22,4.577272727272727,3.8,5.3
冀鲁晋,22,2.727272727272727,2.3,3.1
闽京云,22,6.090909090909091,5.5,8.0
豫云,22,5.136363636363637,3.8,7.5
蒙甘云,22,2.0500000000000003,2.0,2.1
云川津,22,3.040909090909091,2.4,4.0
甘冀,22,5.3999999999999995,3.5,6.5
黑冀京,21,4.890476190476191,3.3,7.7
皖桂,21,5.1000000000000005,4.2,5.9
豫苏皖,21,5.723809523809524,1.5,9.5
辽豫桂,21,1.9276190476190476,1.7,2.3
晋辽,21,16.047619047619047,8.0,25.0
川云,20,5.2700000000000005,4.9,6.1
桂云闽,20,3.37,3.0,3.8
川苏,20,4.536,4.3,5.2
冀辽云晋,20,7.575,7.0,9.5
云苏陕豫,20,6.55,4.8,7.7
皖鲁浙闽,20,3.125,2.1,5.3
津鲁,20,1.7449999999999999,1.4,2.1
皖云浙闽,20,2.3600000000000003,2.2,2.5
冀云辽,20,6.04,5.2,6.9
粤豫桂,19,8.710526315789474,8.0,9.3
冀豫鲁,19,2.4157894736842103,2.2,2.7
冀辽云,19,4.231578947368422,2.8,9.0
冀蒙鲁,19,5.252631578947368,3.7,6.4
云闽浙,19,5.873684210526315,5.2,6.2
辽冀甘,19,8.273684210526316,6.0,10.2
冀京鲁,19,3.547368421052632,3.1,4.4
云冀辽,19,4.663157894736842,3.3,5.7
蒙冀鲁川,19,5.542105263157895,4.1,6.3
京辽鲁,18,2.111111111111111,1.6,2.6
甘黑,18,2.2777777777777777,2.0,2.5
粤鲁,18,9.93888888888889,9.0,13.1
冀黑吉,18,1.822222222222222,1.5,2.6
川桂,17,12.0,10.0,13.5
蒙冀鲁豫,17,2.3035294117647056,2.2,2.5
云川闽,17,6.588235294117647,6.3,7.5
浙闽,17,3.3176470588235296,3.0,3.7
沪鲁,16,1.75,1.7,1.9
云粤琼,16,4.6625,3.6,5.2
苏皖鲁京,16,1.5625,1.4,1.8
桂海,15,4.306666666666667,4.2,4.5
闽京,15,5.92,5.5,6.4
冀川,15,0.988,0.9,1.1
粤桂云鲁,15,4.526666666666667,4.4,4.9
沪,15,2.433333333333333,1.6,3.2
海鲁桂云冀,15,10.020000000000001,9.3,11.0
桂鲁,15,2.001333333333333,1.66,2.6
冀云鲁,15,6.253333333333333,3.8,8.5
冀云鄂新,14,3.7357142857142853,3.6,3.8
闽桂粤,14,6.0928571428571425,5.9,6.2
鲁桂云冀,14,8.114285714285714,6.3,10.0
陕云豫鲁,14,3.814285714285714,3.5,4.4
辽黑,14,11.5,11.0,14.0
冀蒙豫,14,2.394285714285714,2.3,2.46
苏冀鲁,14,1.8571428571428572,1.6,2.3
冀鲁辽,14,4.771428571428571,3.5,6.2
豫苏冀,14,7.328571428571428,6.5,7.5
云津,14,3.1785714285714284,2.3,3.8
浙,13,4.415384615384616,4.4,4.5
冀琼新,13,3.3999999999999995,3.4,3.4
皖云,13,5.950769230769231,5.3,7.76
冀川云,13,5.123076923076923,5.0,5.2
辽冀蒙,13,4.046153846153846,2.1,5.6
冀京鲁云,13,3.376923076923077,3.3,3.5
辽云,13,3.9692307692307693,2.8,8.5
皖鲁浙,13,3.315384615384615,3.3,3.5
粤琼云,13,9.946153846153846,7.8,13.1
徽京鲁,12,2.5,2.5,2.5
闽桂,12,4.958333333333333,3.1,7.5
埃及,12,9.924999999999999,8.5,11.3
辽冀鲁,12,4.483333333333333,2.6,6.0
陕云豫,12,5.508333333333333,4.6,5.8
冀鲁冀蒙,12,2.9166666666666665,2.5,3.5
鲁川,12,4.6499999999999995,4.2,5.3
云浙苏陕,11,5.236363636363636,4.6,6.4
桂川津,11,15.636363636363637,14.0,17.0
豫苏冀鲁,11,7.1,6.0,7.5
蒙晋,10,8.459999999999999,3.8,11.3
浙云,10,4.5,4.5,4.5
云川苏,10,16.95,13.5,20.0
甘黑云豫,10,2.09,1.8,2.3
云冀京,10,3.54,3.2,3.9
鄂鲁,10,2.066,1.5,2.36
冀陕云,10,2.93,2.5,3.2
蒙甘豫,10,1.8399999999999999,1.6,2.0
鄂冀苏,10,1.7120000000000002,1.5,1.9
黑云,10,8.08,6.3,9.0
冀陕云豫鲁,10,4.2,3.9,4.4
冀陕蒙,10,2.2,2.2,2.2
冀 蒙,9,2.6444444444444444,2.3,2.8
冀云闽,9,7.8999999999999995,6.8,9.0
冀京辽鲁,9,2.3777777777777778,2.0,3.0
鲁云冀,9,4.544444444444444,4.1,5.0
冀粤苏,9,10.855555555555556,9.8,11.5
云闽苏川,9,4.111111111111111,3.9,4.3
沪鲁豫,9,2.844444444444444,2.8,2.9
京鲁皖,9,1.7000000000000002,1.6,1.9
冀豫鄂,9,3.7333333333333334,3.4,4.0
豫粤,9,5.555555555555555,4.5,6.9
桂冀辽,8,1.825,1.7,1.9
以色列,8,16.9375,16.0,17.5
粤云桂,8,3.9749999999999996,3.5,4.6
冀粤川,8,10.2875,9.8,11.0
粤琼云闽,8,8.5375,8.2,8.8
蒙新桂,8,5.3,5.3,5.3
鄂云,8,6.7375,6.5,6.8
鲁陕冀,8,4.05,3.6,4.8
冀晋蒙鲁,8,3.225,3.0,3.4
冀云晋,8,8.4125,6.5,10.5
鲁晋,8,2.7125,2.4,3.4
鄂皖桂,8,4.0375,3.9,4.2
豫桂,7,2.3,2.3,2.3
辽冀津,7,2.557142857142857,2.5,2.6
鲁冀晋云,7,5.914285714285714,5.5,6.8
津川桂,7,11.200000000000001,9.8,14.0
云豫鲁,7,2.2142857142857144,1.5,2.9
豫冀苏,7,7.385714285714286,6.5,7.8
冀云闽桂,7,7.714285714285714,7.0,9.0
摩洛哥,6,19.833333333333332,19.0,22.0
闽皖,6,3.5666666666666664,3.4,4.2
冀京津,6,2.9499999999999997,2.9,3.0
辽甘,6,2.033333333333333,1.9,2.06
苏陕豫,6,5.916666666666667,5.5,6.5
新琼桂,6,1.5533333333333335,1.46,1.6
苏陕,6,3.35,3.2,3.5
云苏,6,5.066666666666666,4.6,5.4
云浙苏,6,6.916666666666667,6.4,7.5
鲁冀津,6,2.433333333333333,2.4,2.6
云冀闽,6,4.316666666666666,4.0,5.0
川皖,5,5.720000000000001,5.5,6.0
希腊,5,23.8,23.0,27.0
徽川京鲁,5,2.5,2.5,2.5
云闽浙苏,5,7.159999999999999,6.5,7.6
辽鲁闽,5,10.879999999999999,10.2,11.2
云琼鲁冀,5,9.26,9.0,9.8
云海冀,5,3.9799999999999995,3.6,4.3
云粤鲁,5,11.879999999999999,10.6,12.8
云闽鲁,5,12.440000000000001,11.5,13.1
云闽苏,5,4.359999999999999,4.0,4.8
云鲁闽,5,16.64,13.7,18.6
浙闽皖津,5,3.22,3.0,3.4
冀云新,5,3.4,3.4,3.4
陕鲁云豫,5,4.4399999999999995,4.3,4.6
陕鲁冀,5,3.7,3.5,4.2
云津冀,4,2.05,1.8,2.2
云甘蒙,4,2.8,2.8,2.8
皖苏豫鲁,4,1.43,1.4,1.46
鲁苏皖,4,1.9,1.9,1.9
鲁冀蒙,4,3.0,2.2,3.8
徽京辽鲁,4,2.225,1.9,2.5
晋鲁云,4,3.425,3.2,3.5
云闽粤,4,6.575,6.5,6.8
苏豫鄂,4,3.5,3.5,3.5
晋鲁,4,3.625,3.5,3.8
冀鄂豫,4,3.45,3.4,3.5
鄂皖,4,3.8499999999999996,3.8,4.0
豫冀川,4,9.325,9.0,9.5
冀鲁甘,4,8.25,8.0,8.8
黑云鄂冀,3,7.666666666666667,7.5,8.0
浙云冀,3,2.766666666666667,2.7,2.9
海桂,3,2.7000000000000006,2.7,2.7
印泥,3,47.0,46.0,49.0
鲁冀京,3,2.9,2.8,3.0
鲁冀川,3,4.733333333333333,4.7,4.8
冀云鄂赣,3,3.2000000000000006,3.2,3.2
蒙豫,3,1.1333333333333335,1.1,1.2
鲁蒙冀,3,1.8666666666666665,1.8,1.9
云闽桂,2,4.7,4.2,5.2
云豫陕鄂,2,4.3,4.3,4.3
皖鲁京,2,1.4,1.4,1.4
云冀鄂川,2,3.4,3.4,3.4
鲁冀桂,2,3.3,3.3,3.3
津川,2,11.55,9.3,13.8
粤云川皖,2,6.0,6.0,6.0
桂粤闽,2,2.3,2.3,2.3
加拿大,2,133.0,133.0,133.0
冀京辽,2,2.4,2.3,2.5
闽云桂,2,8.3,8.3,8.3
冀闽皖,2,3.9000000000000004,3.6,4.2
冀鲁新,2,2.9,2.9,2.9
鲁苏陕冀,2,4.9,4.8,5.0
鲁辽冀云,2,4.550000000000001,4.4,4.7
鲁苏陕豫,2,4.9,4.5,5.3
鲁冀云,2,6.5,6.5,6.5
云冀鄂,2,3.2,3.2,3.2
蒙辽冀,2,2.1,2.1,2.1
冀津京,2,3.8,3.8,3.8
苏皖鲁,2,1.4,1.4,1.4
冀豫桂,2,8.8,8.8,8.8
川苏鲁冀,2,4.3,4.3,4.3
广西,2,68.0,68.0,68.0
辽京,2,3.8,3.8,3.8
川苏云,2,8.0,8.0,8.0
浙皖津,1,2.9,2.9,2.9
津鄂,1,6.7,6.7,6.7
浙闽津,1,3.4,3.4,3.4
鲁冀浙,1,3.2,3.2,3.2
琼辽,1,11.0,11.0,11.0
琼粤豫桂,1,10.3,10.3,10.3
皖浙闽云,1,2.2,2.2,2.2
皖苏京鲁,1,2.0,2.0,2.0
川冀云豫,1,6.0,6.0,6.0
川冀云,1,8.0,8.0,8.0
蒙桂,1,4.2,4.2,4.2
冀粤桂,1,10.5,10.5,10.5
苏云,1,4.7,4.7,4.7
桂新,1,6.2,6.2,6.2
云闽冀,1,2.7,2.7,2.7
苏沪,1,5.8,5.8,5.8
